Stratum,Region,Sample mass/Vol DMSO,ER_BEQ_ng_E2_g,AhR_BEQ_ng_TCDD_g,B18 Eohaus Tox  Category,B18 Eohaus survival (% control),Sample Name,Total_PAHs,Benzo.b.fluoranthene,Benzo.k.fluoranthene,Dibenz.a.h.anthracene,Indeno.1.2.3.cd.pyrene,Benzo.a.pyrene,Benzo.e.pyrene,Benz.a.anthracene,Chrysene,Fluoranthene,Pyrene,Phenanthrene,Anthracene
Marinas,Long Beach,3.75 g/0.2 mL??,0.15,1.05,Nontoxic,96.7032967,SWP0146 B18-10054,363.03,47.9,12.1,7.69,52.3,22.8,28.4,17,21.7,29.2,36.7,14,4.2
Marinas,Dana Point Harbor,3.75 g/0.4 mL,,1.17,Nontoxic,97.93814433,SWP0147 B18-10068,265.45,16.39999962,15.80000019,9.930000305,29.89999962,13,13.10000038,29.70000076,38.40000153,16.89999962,18.70000076,8.300000191,2.650000095
Marinas,Oceanside Harbor,3.75 g/0.4 mL,,1.16,Nontoxic,100,SWP0148 B18-10070,131.53,7.46999979,6.449999809,2.74000001,13.89999619,5.110000134,6.150000095,13.80000019,8.989999771,13.10000038,12.69999981,7.329999924,1.039999962
Marinas,San Diego Bay,3.75 g/0.4 mL,0.28,2.46,Nontoxic,98.98989899,SWP0149 B18-10081,1233.226003,174,128,60.59999847,178,93.90000153,86.59999847,89.40000153,54.70000076,102,93,30.79999924,7.989997711
Marinas,San Diego Bay,3.75 g/0.2 mL,,0.43,Nontoxic,93.75,SWP0150 B18-10086,283.7171243,24.76085091,22.9901104,4.419479847,24.18581963,22.89171982,21.80584908,10.89488983,21.47036934,34.83900833,33.18901062,12.93842983,1.546007037
Ports,Los Angeles/Long Beach,3.75 g/0.4 mL,0.34,0.53,Nontoxic,96.96969697,SWP0151 B18-10102,415.38,40,33,4.3,28,40,24,24,27,37,48,13,5.7
Ports,Los Angeles/Long Beach,3.75 g/0.4 mL,0.29,0.73,Nontoxic,93.61702128,SWP0152 B18-10109,972.8823256,96.29695886,28.8372093,17.42397138,63.58,65.20572451,46.11806798,29.01610018,32.71914132,64.32915921,58.90876565,19.05187835,
Ports,San Diego Bay,3.75 g/0.4 mL,0.34,2.62,Nontoxic,95.83333333,SWP0153 B18-10126,1384.655991,205,164,56.09999847,227,121,117,96.40000153,70.09999847,67.59999847,94.69999695,15.69999981,11.10000038
Ports,San Diego Bay,3.75 g/0.4 mL,0.5,4.5,Nontoxic,100,SWP0154 B18-10127,2569.970001,378,279,114,360,267,250,169,127,137,176,28,23.29999924
Ports,San Diego Bay,3.75 g/0.4 mL,0.13,0.62,Nontoxic,92.70833333,SWP0155 B18-10133,177.1780008,23.60000038,15.19999981,3.680000067,28.44999981,9.015000343,7.800000191,12.8499999,8.045000076,12.32000017,10.89999962,5.595000029,1.23999998
